orgao_superior_codigo_siorg,orgao_superior_nome,orgao_nome,ano_mes_referencia,sigla_codigo_cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,113,109,4
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,45,40,5
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,19,19,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,4,4,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,41,41,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,71,70,1
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,56,52,4
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,9,9,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,3,3,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,3,3,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,6,6,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,9,9,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,3,3,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,39,33,6
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,55,52,3
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,37,32,5
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,1,1,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,11,11,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,24,23,1
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,12,10,2
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,1,1,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,1,1,0
